item_id,order_id,product_id,quantity,unit_price,discount_percent
I00129,O0424,P0143,2,42548,14
I00130,O0263,P0033,4,44162,30
I00131,O0045,P0239,2,38571,2
I00132,O0203,P0127,1,40411,4
I00133,O0405,P0137,5,15551,14
I00134,O0251,P0136,1,8480,9
I00135,O0035,P0118,5,7345,19
I00136,O0010,P0382,1,40410,18
I00137,O0216,P0408,1,46271,12
I00138,O0456,P0274,-3,17460,30
I00139,O0055,P0170,1,3189,38
I00140,O0237,P0241,5,49310,5
I00141,O0435,P0056,4,26434,31
I00142,O0332,P0196,3,25462,31
I00143,O0195,P0302,5,38467,12
I00144,O0306,P0016,5,12953,14
I00145,O0143,P0313,3,44751,22
I00146,O0500,P0381,4,29619,39
I00147,O0320,P0306,1,16544,31
I00148,O0134,P0194,5,10985,28
I00149,O0405,P0387,5,17435,14
I00150,O0020,P0375,5,7919,13
I00151,O0210,P0363,5,9976,36
I00152,O0432,P0465,5,36366,27
I00153,O0074,P0474,4,10596,8
I00154,O0474,P0036,1,43060,36
I00155,O0288,P0249,4,30472,9
I00156,O0031,P0491,2,27667,8
I00157,O0380,P0108,1,18078,2
I00158,O0059,P0360,2,46263,5
I00159,O0325,P0105,4,12316,32
I00160,O0418,P0255,5,6514,17
I00161,O0126,P0363,5,41077,37
I00162,O0033,P0210,1,31756,2
I00163,O0027,P0400,5,37841,32
I00164,O0178,P0109,3,14478,25
I00165,O0434,P0204,4,22872,11
I00166,O0007,P0164,1,28750,0
I00167,O0337,P0322,5,130,40
I00168,O0248,P0178,4,9902,36
I00169,O0199,P0150,2,49363,32
I00170,O0308,P0231,4,37660,9
I00171,O0005,P0311,5,43643,25
I00172,O0319,P0353,3,19418,14
I00173,O0401,P0271,5,33891,31
I00174,O0412,P0027,1,44120,15
I00175,O0334,P0077,5,173,8
I00176,O0340,P0268,3,42508,14
I00177,O0294,P0422,3,17677,36
I00178,O0242,P0352,5,49837,18
I00179,O0134,P0154,4,35924,25
I00180,O0258,P0414,4,8016,3
I00181,O0082,P0421,2,45687,40
I00182,O0289,P0361,2,36729,34
I00183,O0131,P0060,3,31083,27
I00184,O0260,P0483,3,35190,6
I00185,O0345,P0102,4,27600,15
I00186,O0417,P0065,3,14371,30
I00187,O0046,P0281,4,482,36
I00188,O0360,P0443,2,364,13
I00189,O0434,P0063,3,27019,30
I00190,O0373,P0085,2,9345,14
I00191,O0017,P0236,2,23411,3
I00192,O0161,P0426,4,20191,11
I00193,O0289,P0390,1,7583,1
I00194,O0243,P0121,3,16969,35
I00195,O0112,P0233,2,12174,32
I00196,O0290,P0463,1,16468,28
I00197,O0055,P0465,3,11626,40
I00198,O0013,P0137,2,42410,28
I00199,O0404,P0251,2,34444,33
I00200,O0012,P0059,5,2128,12
I00201,O0119,P0428,1,1018,26
I00202,O0199,P0478,4,15708,34
I00203,O0053,P0077,1,13116,2
I00204,O0095,P0378,3,26394,32
I00205,O0403,P0390,3,43397,37
I00206,O0260,P0280,2,35734,17
I00207,O0351,P0088,3,23589,30
I00208,O0317,P0184,4,6685,12
I00209,O0199,P0388,5,40894,17
I00210,O0223,P0034,3,9555,2
I00211,O0401,P0358,1,47515,33
I00212,O0361,P0175,3,35725,26
I00213,O0045,P0424,5,20267,13
I00214,O0103,P0238,3,44570,16
I00215,O0478,P0044,4,1667,19
I00216,O0145,P0176,1,38748,5
I00217,O0255,P0256,1,23604,39
I00218,O0120,P0457,3,200,26
I00219,O0131,P0282,4,33006,8
I00220,O0094,P0333,4,14200,15
I00221,O0303,P0319,1,30542,39
I00222,O0199,P0497,-5,42649,7
I00223,O0024,P0004,1,25634,5
I00224,O0439,P0263,2,47078,6
I00225,O0080,P0462,1,33481,20
I00226,O0422,P0300,4,5671,33
I00227,O0395,P0163,2,16081,29
I00228,O0153,P0436,3,31371,6
I00229,O0017,P0050,1,2265,32
I00230,O0162,P0197,4,3119,24
I00231,O0482,P0103,2,21522,40
I00232,O0065,P0204,5,8993,12
I00233,O0087,P0016,2,2015,37
I00234,O0232,P0192,4,2991,4
I00235,O0053,P0061,2,49613,37
I00236,O0339,P0389,3,48324,40
I00237,O0493,P0130,5,11179,39
I00238,O0478,P0105,2,17886,5
I00239,O0016,P0194,5,28310,22
I00240,O0333,P0360,1,40476,26
I00241,O0219,P0077,4,32627,28
I00242,O0157,P0467,5,32152,1
I00243,O0243,P0325,5,45049,37
I00244,O0079,P0448,1,9129,21
I00245,O0198,P0130,3,836,30
I00246,O0412,P0424,3,41528,31
I00247,O0017,P0382,3,49289,17
I00248,O0184,P0401,4,8535,12
I00249,O0459,P0422,1,32927,25
I00250,O0355,P0425,5,36249,31
I00251,O0300,P0317,4,32125,0
I00252,O0057,P0314,4,34127,34
I00253,O0050,P0148,2,49889,19
I00254,O0194,P0413,1,45644,3
I00255,O0164,P0217,5,10632,18
I00256,O0100,P0311,5,3432,14
I00257,O0009,P0491,5,16497,16
I00258,O0227,P0065,5,29958,4
I00259,O0288,P0307,3,13861,40
I00260,O0458,P0451,5,42189,37
I00261,O0234,P0481,1,523,12
I00262,O0241,P0215,1,17756,8
I00263,O0038,P0312,1,43540,12
I00264,O0050,P0092,1,43486,16
I00265,O0285,P0242,1,39789,2
I00266,O0293,P0106,5,39801,23
I00267,O0275,P0254,-5,17360,22
I00268,O0397,P0498,1,19657,11
I00269,O0391,P0246,4,19796,8
I00270,O0322,P0073,3,42044,2
I00271,O0274,P0006,3,5985,26
I00272,O0469,P0377,5,5329,13
I00273,O0337,P0336,3,8001,29
I00274,O0297,P0032,3,42478,35
I00275,O0236,P0156,1,45318,3
I00276,O0321,P0289,1,8125,26
I00277,O0306,P0044,4,15937,31
I00278,O0101,P0068,4,27594,32
I00279,O0455,P0206,1,24096,37
I00280,O0160,P0200,4,49584,32
I00281,O0063,P0210,5,22163,3
I00282,O0291,P0262,4,42318,13
I00283,O0440,P0087,3,5969,39
I00284,O0412,P0140,3,35284,7
I00285,O0378,P0360,2,25284,36
I00286,O0432,P0455,2,6158,30
I00287,O0209,P0004,4,38660,23
I00288,O0414,P0211,2,40430,9
I00289,O0439,P0454,1,29104,24
I00290,O0207,P0022,3,49308,2
I00291,O0188,P0110,5,3336,35
I00292,O0224,P0118,3,47928,17
I00293,O0215,P0272,2,21118,13
I00294,O0418,P0031,4,15854,35
I00295,O0462,P0334,3,14704,13
I00296,O0303,P0006,3,20838,1
I00297,O0132,P0355,1,2007,31
I00298,O0033,P0101,3,19574,27
I00299,O0425,P0413,3,14621,4
I00300,O0038,P0005,4,33580,11
I00301,O0307,P0221,2,7329,17
I00302,O0065,P0249,4,39292,2
I00303,O0040,P0129,3,37449,33
I00304,O0275,P0145,1,14341,21
I00305,O0066,P0407,3,47306,39
I00306,O0137,P0374,4,22667,6
I00307,O0418,P0138,3,25904,12
I00308,O0376,P0356,3,22037,2
I00309,O0076,P0210,4,36278,1
I00310,O0364,P0217,2,1284,38
I00311,O0337,P0254,5,25704,7
I00312,O0441,P0207,4,5579,26
I00313,O0025,P0234,4,10564,14
I00314,O0402,P0055,1,27593,2
I00315,O0442,P0045,2,28843,3
I00316,O0095,P0483,1,23843,20
I00317,O0178,P0111,-5,37099,31
I00318,O0185,P0416,5,8703,22
I00319,O0440,P0207,2,4119,38
I00320,O0243,P0261,1,25013,29
I00321,O0237,P0437,3,29576,8
I00322,O0435,P0231,4,534,23
I00323,O0360,P0150,2,47171,36
I00324,O0047,P0345,5,6150,30
I00325,O0482,P0494,3,14816,33
I00326,O0038,P0387,2,30044,7
I00327,O0396,P0307,3,31825,28
I00328,O0452,P0441,2,49314,39
I00329,O0230,P0227,1,32732,26
I00330,O0096,P0339,2,21213,23
I00331,O0431,P0303,4,611,11
I00332,O0117,P0446,1,38874,12
I00333,O0385,P0395,1,3569,28
I00334,O0095,P0225,5,6514,7
I00335,O0494,P0341,1,29037,31
I00336,O0288,P0109,3,45032,20
I00337,O0117,P0436,1,29384,10
I00338,O0287,P0156,4,27999,13
I00339,O0083,P0496,5,6504,7
I00340,O0491,P0489,3,5829,2
I00341,O0023,P0205,5,23153,17
I00342,O0008,P0076,1,15433,27
I00343,O0125,P0177,4,3970,15
I00344,O0411,P0434,3,42347,20
I00345,O0097,P0168,1,31934,25
I00346,O0361,P0364,5,2131,30
I00347,O0401,P0142,5,10841,24
I00348,O0037,P0151,1,18640,4
I00349,O0279,P0313,4,3757,37
I00350,O0075,P0156,5,10689,31
I00351,O0295,P0342,5,36654,16
I00352,O0318,P0426,2,23996,10
I00353,O0480,P0330,-5,43317,26
I00354,O0322,P0225,2,34141,39
I00355,O0197,P0416,4,21610,6
I00356,O0418,P0154,5,37127,21
I00357,O0190,P0337,1,10637,1
I00358,O0172,P0433,3,2721,10
I00359,O0481,P0333,4,11031,6
I00360,O0286,P0446,4,9420,16
I00361,O0241,P0418,5,23129,38
I00362,O0066,P0311,1,25721,23
I00363,O0350,P0031,3,14887,34
I00364,O0092,P0217,4,30778,34
I00365,O0276,P0268,2,31050,38
I00366,O0083,P0306,5,31702,19
I00367,O0427,P0495,5,27130,5
I00368,O0363,P0451,5,20509,15
I00369,O0205,P0234,2,32085,12
I00370,O0333,P0011,5,44201,17
I00371,O0187,P0242,2,42954,20
I00372,O0338,P0471,1,15488,20
I00373,O0482,P0367,1,5920,14
I00374,O0297,P0188,4,23800,1
I00375,O0279,P0500,5,48163,35
I00376,O0071,P0104,3,29041,3
I00377,O0499,P0248,2,44636,12
I00378,O0076,P0103,5,19461,7
I00379,O0143,P0026,2,11372,25
I00380,O0290,P0398,5,32575,6
I00381,O0212,P0375,-4,23562,32
I00382,O0013,P0410,3,14817,4
I00383,O0141,P0102,2,29622,15
I00384,O0201,P0323,1,2331,17
I00385,O0136,P0025,5,10848,13
I00386,O0011,P0308,3,44464,36
I00387,O0185,P0385,5,123,32
I00388,O0169,P0347,5,21519,37
I00389,O0433,P0252,4,49842,12
I00390,O0111,P0121,3,24693,3
I00391,O0003,P0490,4,32831,14
I00392,O0451,P0268,2,32447,15
I00393,O0172,P0391,4,2225,1
I00394,O0126,P0199,4,45249,13
I00395,O0082,P0253,4,17761,14
I00396,O0444,P0017,4,41006,40
I00397,O0318,P0147,4,18455,1
I00398,O0173,P0372,1,17814,32
I00399,O0186,P0483,3,47364,12
I00400,O0241,P0051,4,45982,2
I00401,O0430,P0092,3,49823,28
I00402,O0399,P0367,5,24227,33
I00403,O0361,P0409,5,28567,38
I00404,O0120,P0471,4,24776,6
I00405,O0082,P0500,1,15337,34
I00406,O0485,P0020,3,7124,40
I00407,O0406,P0226,2,13411,29
I00408,O0300,P0310,1,40829,12
I00409,O0496,P0415,2,10991,22
I00410,O0435,P0466,2,6469,25
I00411,O0450,P0316,2,15097,35
I00412,O0111,P0071,4,25337,29
I00413,O0318,P0143,4,7619,13
I00414,O0149,P0079,2,41663,30
I00415,O0050,P0390,3,33046,14
I00416,O0480,P0474,5,37623,28
I00417,O0348,P0021,2,7547,35
I00418,O0366,P0212,4,23132,28
I00419,O0433,P0167,5,1116,34
I00420,O0339,P0323,2,996,40
I00421,O0472,P0205,3,45379,21
I00422,O0479,P0091,4,14448,33
I00423,O0136,P0260,1,12801,10
I00424,O0397,P0378,3,22419,29
I00425,O0293,P0293,4,11713,8
I00426,O0022,P0281,2,24213,33
I00427,O0127,P0261,4,14622,31
I00428,O0151,P0234,2,8317,4
I00429,O0457,P0099,3,42300,27
I00430,O0468,P0312,2,21318,37
I00431,O0025,P0311,2,28976,10
I00432,O0112,P0035,2,9387,23
I00433,O0131,P0227,1,26144,14
I00434,O0103,P0210,5,6182,7
I00435,O0056,P0400,3,5831,2
I00436,O0391,P0118,-5,10771,32
I00437,O0421,P0316,2,31696,1
I00438,O0024,P0124,2,12804,25
I00439,O0478,P0291,1,33046,29
I00440,O0223,P0258,3,5880,18
I00441,O0384,P0298,1,36264,2
I00442,O0331,P0350,3,28383,34
I00443,O0299,P0433,2,33713,24
I00444,O0187,P0190,-3,30154,7
I00445,O0237,P0020,3,8121,37
I00446,O0028,P0365,5,22542,0
I00447,O0314,P0370,5,27837,36
I00448,O0204,P0232,4,18812,21
I00449,O0193,P0113,5,22343,2
I00450,O0347,P0333,4,27616,30
I00451,O0477,P0230,2,45557,32
I00452,O0492,P0387,4,22985,12
I00453,O0264,P0355,1,20991,33
I00454,O0172,P0026,1,37958,19
I00455,O0118,P0033,2,37048,33
I00456,O0193,P0479,1,36769,12
I00457,O0366,P0259,4,9014,5
I00458,O0063,P0256,3,47996,35
I00459,O0179,P0425,1,38520,0
I00460,O0491,P0118,4,20672,23
I00461,O0122,P0223,4,49277,28
I00462,O0414,P0424,1,27100,0
I00463,O0279,P0135,2,38073,30
I00464,O0287,P0027,1,671,19
I00465,O0446,P0057,5,7149,22
I00466,O0393,P0197,2,16972,11
I00467,O0430,P0089,1,41180,11
I00468,O0079,P0177,5,49551,5
I00469,O0260,P0176,1,39433,8
I00470,O0030,P0060,1,2989,2
I00471,O0329,P0175,5,27338,27
I00472,O0035,P0096,4,23873,17
I00473,O0150,P0394,5,33834,3
I00474,O0242,P0207,2,8619,3
I00475,O0177,P0282,5,10205,8
I00476,O0178,P0267,5,28822,3
I00477,O0014,P0246,3,35597,15
I00478,O0378,P0463,4,38242,6
I00479,O0062,P0138,2,37263,10
I00480,O0393,P0455,2,47174,39
I00481,O0041,P0449,4,38390,20
I00482,O0018,P0388,5,37574,11
I00483,O0479,P0456,2,39537,26
I00484,O0375,P0165,4,49916,20
I00485,O0398,P0221,5,19376,36
I00486,O0329,P0180,4,22668,39
I00487,O0434,P0015,4,14271,39
I00488,O0390,P0300,1,41322,10
I00489,O0173,P0275,5,26965,40
I00490,O0273,P0118,2,19390,6
I00491,O0331,P0274,1,38541,18
I00492,O0337,P0149,1,3777,16
I00493,O0346,P0447,3,22072,5
I00494,O0087,P0292,2,9720,33
I00495,O0136,P0008,5,3106,20
I00496,O0408,P0277,2,15761,7
I00497,O0481,P0084,1,18006,33
I00498,O0493,P0224,2,18285,39
I00499,O0280,P0052,3,39280,1
I00500,O0055,P0463,2,18192,26
I00501,O0106,P0063,3,4740,15
I00502,O0276,P0220,4,24424,20
I00503,O0321,P0257,5,39793,31
I00504,O0366,P0441,1,8851,33
I00505,O0135,P0031,5,26026,15
I00506,O0465,P0118,3,33054,15
I00507,O0317,P0034,4,1805,18
I00508,O0190,P0036,1,12633,19
I00509,O0299,P0214,2,20772,10
I00510,O0422,P0250,5,11676,19
I00511,O0185,P0385,4,12541,25
I00512,O0051,P0009,5,6709,19
I00513,O0035,P0444,1,8218,35
I00514,O0467,P0357,4,8308,26
I00515,O0296,P0475,4,32219,28
I00516,O0123,P0451,1,23186,20
I00517,O0294,P0040,4,35771,16
I00518,O0456,P0497,2,32173,14
I00519,O0360,P0128,4,38867,22
I00520,O0426,P0183,2,30898,23
I00521,O0215,P0197,1,3662,1
I00522,O0466,P0359,5,29769,10
I00523,O0101,P0319,2,43825,36
I00524,O0308,P0192,2,35939,25
I00525,O0281,P0012,5,1038,30
I00526,O0117,P0310,1,1796,5
I00527,O0098,P0264,2,13791,13
I00528,O0204,P0087,2,36295,24
I00529,O0106,P0499,4,11118,11
I00530,O0025,P0115,1,33273,7
I00531,O0040,P0322,-1,40518,24
I00532,O0315,P0135,4,23260,35
I00533,O0024,P0334,1,1105,39
I00534,O0465,P0489,5,5077,31
I00535,O0101,P0300,5,36963,22
I00536,O0237,P0001,4,37209,29
I00537,O0330,P0327,4,20082,14
I00538,O0355,P0352,2,22329,32
I00539,O0007,P0120,1,13542,16
I00540,O0468,P0248,4,9357,15
I00541,O0414,P0129,5,16166,39
I00542,O0449,P0223,1,30482,15
I00543,O0036,P0045,5,12045,34
I00544,O0449,P0061,2,41089,31
I00545,O0410,P0327,3,18285,3
I00546,O0360,P0217,5,9325,4
I00547,O0347,P0063,4,49375,29
I00548,O0314,P0400,-3,37135,33
I00549,O0046,P0142,2,10330,13
I00550,O0182,P0064,5,244,38
I00551,O0486,P0041,4,20527,2
I00552,O0407,P0266,4,10038,11
I00553,O0252,P0415,2,33672,16
I00554,O0356,P0492,3,40934,26
I00555,O0390,P0250,5,49888,40
I00556,O0307,P0320,5,49001,19
I00557,O0378,P0339,5,3797,40
I00558,O0103,P0158,2,41929,5
I00559,O0325,P0227,3,49794,18
I00560,O0469,P0389,1,4047,28
I00561,O0129,P0074,5,21626,36
I00562,O0113,P0463,2,30972,33
I00563,O0046,P0286,5,16394,32
I00564,O0484,P0364,3,32680,3
I00565,O0143,P0358,2,36304,24
I00566,O0230,P0291,4,25961,26
I00567,O0261,P0500,2,43591,3
I00568,O0240,P0162,4,48936,40
I00569,O0071,P0341,2,5640,5
I00570,O0417,P0047,2,1678,38
I00571,O0261,P0042,5,10034,36
I00572,O0328,P0061,5,31921,37
I00573,O0266,P0342,1,30388,20
I00574,O0376,P0291,4,8520,5
I00575,O0130,P0177,2,22313,37
I00576,O0441,P0443,4,16681,37
I00577,O0384,P0285,3,39027,3
I00578,O0470,P0396,3,39715,1
I00579,O0480,P0274,2,25312,32
I00580,O0372,P0297,5,16612,20
I00581,O0049,P0265,5,37827,28
I00582,O0280,P0180,4,33716,18
I00583,O0017,P0170,2,29681,4
I00584,O0357,P0276,5,15633,20
I00585,O0308,P0311,2,27272,18
I00586,O0364,P0156,5,26443,4
I00587,O0498,P0031,2,41958,33
I00588,O0317,P0141,2,47058,19
I00589,O0339,P0097,3,2455,21
I00590,O0066,P0410,4,37000,14
I00591,O0177,P0297,5,126,0
I00592,O0206,P0441,2,26826,17
I00593,O0144,P0436,4,29321,20
I00594,O0466,P0283,3,33913,8
I00595,O0034,P0267,1,34235,27
I00596,O0315,P0308,4,8786,36
I00597,O0252,P0093,2,21274,33
I00598,O0410,P0499,4,38018,13
I00599,O0258,P0171,2,33642,1
I00600,O0357,P0394,5,23525,15
I00601,O0276,P0251,2,8692,15
I00602,O0419,P0302,1,2892,11
I00603,O0248,P0420,5,49184,22
I00604,O0151,P0245,2,19608,35
I00605,O0266,P0474,2,11998,3
I00606,O0426,P0126,3,33402,2
I00607,O0363,P0374,4,23893,17
I00608,O0131,P0374,1,35187,2
I00609,O0211,P0286,5,46888,39
I00610,O0255,P0440,3,30190,1
I00611,O0221,P0417,4,34257,32
I00612,O0099,P0065,3,36711,23
I00613,O0099,P0074,5,22534,3
I00614,O0314,P0370,2,5192,18
I00615,O0190,P0114,5,23014,3
I00616,O0417,P0049,2,29926,38
I00617,O0156,P0426,3,13157,9
I00618,O0459,P0113,2,29527,27
I00619,O0424,P0462,5,46051,13
I00620,O0368,P0018,3,15601,16
I00621,O0074,P0314,4,34132,21
I00622,O0443,P0227,3,45046,28
I00623,O0118,P0286,1,10001,14
I00624,O0317,P0310,2,45995,35
I00625,O0357,P0461,3,42026,34
I00626,O0082,P0277,3,48700,21
I00627,O0433,P0319,3,21144,35
I00628,O0075,P0336,4,37880,25
I00629,O0335,P0230,2,7526,16
I00630,O0219,P0336,3,12620,17
I00631,O0495,P0154,4,47223,22
I00632,O0007,P0073,1,47512,19
I00633,O0360,P0433,4,9369,26
I00634,O0451,P0097,4,44848,36
I00635,O0446,P0298,2,20376,12
I00636,O0165,P0479,-2,48762,1
I00637,O0439,P0492,3,26733,40
I00638,O0002,P0015,2,31392,39
I00639,O0145,P0123,1,43645,33
I00640,O0457,P0230,3,43096,10
I00641,O0355,P0296,1,46182,6
I00642,O0131,P0323,2,20745,15
I00643,O0061,P0324,2,14916,29
I00644,O0493,P0110,5,44829,25
I00645,O0129,P0230,4,17240,26
I00646,O0074,P0011,1,49197,2
I00647,O0040,P0099,2,45675,24
I00648,O0064,P0404,4,48443,4
I00649,O0232,P0227,5,3237,26
I00650,O0066,P0121,3,15377,4
I00651,O0357,P0475,5,38772,37
I00652,O0042,P0462,5,47653,10
I00653,O0188,P0097,4,5070,2
I00654,O0468,P0410,5,46478,35
I00655,O0042,P0100,5,1702,33
I00656,O0042,P0090,3,30262,27
I00657,O0141,P0001,4,22910,17
I00658,O0231,P0209,2,42438,31
I00659,O0197,P0129,2,49873,34
I00660,O0111,P0315,5,28540,30
I00661,O0495,P0132,3,4946,25
I00662,O0446,P0355,2,43331,1
I00663,O0353,P0282,4,26342,21
I00664,O0183,P0382,1,9419,18
I00665,O0472,P0349,2,6262,30
I00666,O0289,P0065,2,36891,14
I00667,O0351,P0215,3,15359,36
I00668,O0291,P0246,3,6846,7
I00669,O0394,P0113,2,938,10
I00670,O0354,P0338,5,42049,15
I00671,O0161,P0408,3,965,22
I00672,O0237,P0255,3,47625,5
I00673,O0343,P0249,3,39473,1
I00674,O0206,P0100,4,41111,29
I00675,O0196,P0225,5,39483,6
I00676,O0424,P0458,1,12452,15
I00677,O0431,P0146,4,9065,8
I00678,O0098,P0374,2,18770,36
I00679,O0388,P0169,1,36068,35
I00680,O0148,P0214,3,327,8
I00681,O0432,P0075,1,34869,0
I00682,O0189,P0477,3,48186,32
I00683,O0276,P0107,5,37948,33
I00684,O0022,P0400,4,28380,26
I00685,O0201,P0084,1,49327,25
I00686,O0385,P0196,1,27838,29
I00687,O0448,P0032,4,10558,34
I00688,O0007,P0069,2,45078,29
I00689,O0355,P0332,2,6273,3
I00690,O0056,P0180,4,19206,37
I00691,O0410,P0456,4,5686,12
I00692,O0146,P0013,5,14573,0
I00693,O0437,P0451,5,37847,33
I00694,O0266,P0130,4,4478,1
I00695,O0286,P0258,2,4133,24
I00696,O0427,P0435,2,7915,25
I00697,O0412,P0435,5,26455,27
I00698,O0055,P0115,2,29359,15
I00699,O0189,P0081,2,49632,32
I00700,O0085,P0242,1,39289,36
I00701,O0096,P0029,4,12651,19
I00702,O0365,P0296,4,37640,30
I00703,O0106,P0257,5,39742,36
I00704,O0175,P0042,3,14683,18
I00705,O0303,P0379,-3,25905,26
I00706,O0225,P0213,3,35205,34
I00707,O0376,P0453,4,44281,3
I00708,O0232,P0283,1,44288,9
I00709,O0296,P0402,5,44451,7
I00710,O0415,P0040,2,10153,16
I00711,O0074,P0459,1,19756,14
I00712,O0382,P0174,5,32303,39
I00713,O0461,P0306,4,36310,20
I00714,O0260,P0061,3,25509,0
I00715,O0354,P0447,1,39176,24
I00716,O0258,P0332,1,13331,37
I00717,O0081,P0130,2,28565,4
I00718,O0280,P0338,1,38330,17
I00719,O0180,P0009,3,10839,35
I00720,O0318,P0353,1,45865,4
I00721,O0253,P0418,5,45430,3
I00722,O0102,P0021,5,4947,36
I00723,O0405,P0459,1,33853,9
I00724,O0478,P0110,1,17613,39
I00725,O0283,P0041,3,19194,13
I00726,O0486,P0141,2,760,10
I00727,O0280,P0322,2,15298,32
I00728,O0084,P0138,1,23167,24
I00729,O0303,P0379,2,5200,17
I00730,O0488,P0288,5,34661,15
I00731,O0011,P0221,3,11471,10
I00732,O0174,P0192,2,7573,0
I00733,O0327,P0243,5,26014,24
I00734,O0421,P0209,5,25642,38
